Day,Going1,Going2,Going3,Going4,Going5,Returning1,Returning2,Returning3,Returning4,Returning5
Day76,noBus,train,ElizabethLine,noBus,walk,noBus,walk,noElizabethLine,train,noBus
Day77,99,train,ElizabethLine,153,walk,noBus,walk,ElizabethLine,train,noBus
Day78,noBus,train,ElizabethLine,noBus,walk,NorthernLine,CircleLine,ElizabethLine,train,noBus
Day79,428,train,ElizabethLine,4,walk,153,walk,ElizabethLine,train,89
Day80,99,train,ElizabethLine,4,walk,153,walk,ElizabethLine,train,89
Day81,89,train,ElizabethLine,4,walk,341,walk,ElizabethLine,noTrain,99
Day82,89,train,ElizabethLine,56,walk,153,HammersmithLine,ElizabethLine,train,99
Day83,89,train,ElizabethLine,56,walk,153,walk,noElizabethLine,train,428
Day84,99,noTrain,ElizabethLine,153,walk,341,walk,noElizabethLine,noTrain,99
Day85,noBus,train,noElizabethLine,153,walk,341,walk,noElizabethLine,train,89
Day86,noBus,train,noElizabethLine,341,walk,4,walk,ElizabethLine,train,89
Day88,noBus,train,noElizabethLine,153,walk,56,walk,ElizabethLine,train,89
Day89,428,train,ElizabethLine,153,walk,153,CircleLine,ElizabethLine,train,89
Day90,428,train,ElizabethLine,4,walk,153,walk,ElizabethLine,train,noBus
Day91,428,train,ElizabethLine,56,walk,153,walk,noElizabethLine,train,noBus
Day92,428,train,ElizabethLine,noBus,walk,NorthernLine,walk,noElizabethLine,train,noBus
Day93,428,train,ElizabethLine,56,walk,NorthernLine,walk,ElizabethLine,train,99
Day94,99,train,ElizabethLine,153,walk,56,HammersmithLine,ElizabethLine,noTrain,428
Day95,99,noTrain,ElizabethLine,153,walk,4,walk,ElizabethLine,noTrain,99
Day96,99,train,ElizabethLine,153,walk,4,walk,ElizabethLine,train,noBus
Day97,89,train,ElizabethLine,4,walk,341,walk,ElizabethLine,train,89
Day98,noBus,train,ElizabethLine,153,walk,153,walk,ElizabethLine,train,89
Day99,428,train,ElizabethLine,341,walk,153,walk,ElizabethLine,train,noBus
Day100,99,noTrain,ElizabethLine,noBus,walk,noBus,walk,noElizabethLine,train,noBus
